CODGEO;EFF_TOT;EFF_AZ;EFF_BE;EFF_FZ;EFF_GU;EFF_OQ;EFF_TOT_1_4;EFF_AZ_1_4;EFF_BE_1_4;EFF_FZ_1_4;EFF_GU_1_4;EFF_OQ_1_4;EFF_TOT_5_9;EFF_AZ_5_9;EFF_BE_5_9;EFF_FZ_5_9;EFF_GU_5_9;EFF_OQ_5_9;EFF_TOT_10_19;EFF_AZ_10_19;EFF_BE_10_19;EFF_FZ_10_19;EFF_GU_10_19;EFF_OQ_10_19;EFF_TOT_20_49;EFF_AZ_20_49;EFF_BE_20_49;EFF_FZ_20_49;EFF_GU_20_49;EFF_OQ_20_49;EFF_TOT_50_99;EFF_AZ_50_99;EFF_BE_50_99;EFF_FZ_50_99;EFF_GU_50_99;EFF_OQ_50_99;EFF_TOT_100_199;EFF_AZ_100_199;EFF_BE_100_199;EFF_FZ_100_199;EFF_GU_100_199;EFF_OQ_100_199;EFF_TOT_200_499;EFF_AZ_200_499;EFF_BE_200_499;EFF_FZ_200_499;EFF_GU_200_499;EFF_OQ_200_499;EFF_TOT_500P;EFF_AZ_500P;EFF_BE_500P;EFF_FZ_500P;EFF_GU_500P;EFF_OQ_500P
59086;601;5;15;81;366;134;109;5;8;20;73;3;115;0;7;27;72;9;93;0;0;34;49;10;122;0;0;0;122;0;162;0;0;0;50;112;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59087;42;12;0;8;4;18;10;3;0;3;4;0;21;9;0;5;0;7;11;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59088;942;9;158;86;607;82;93;9;4;15;64;1;113;0;0;6;83;24;106;0;37;0;56;13;210;0;35;65;66;44;235;0;82;0;153;0;185;0;0;0;185;0;0;0;0;0;0;0;0;0;0;0;0;0
59089;242;16;12;3;104;107;42;10;4;3;25;0;60;6;8;0;31;15;48;0;0;0;48;0;23;0;0;0;0;23;69;0;0;0;0;69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59090;4446;12;793;226;2342;1073;412;3;17;40;322;30;478;9;53;57;307;52;443;0;55;65;284;39;1065;0;270;64;603;128;866;0;71;0;433;362;855;0;0;0;393;462;327;0;327;0;0;0;0;0;0;0;0;0
59091;298;4;235;21;26;12;28;4;0;4;16;4;23;0;8;7;0;8;31;0;11;10;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;216;0;216;0;0;0;0;0;0;0;0;0
59092;1098;1;105;15;520;457;119;1;9;2;89;18;117;0;14;13;71;19;105;0;24;0;68;13;123;0;0;0;123;0;254;0;58;0;59;137;380;0;0;0;110;270;0;0;0;0;0;0;0;0;0;0;0;0
59093;54;6;10;0;31;7;10;6;0;0;3;1;16;0;10;0;0;6;0;0;0;0;0;0;28;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59094;1891;23;555;93;611;609;167;17;5;21;91;33;182;6;18;21;123;14;149;0;27;18;77;27;303;0;0;33;91;179;396;0;67;0;126;203;256;0;0;0;103;153;438;0;438;0;0;0;0;0;0;0;0;0
59096;79;23;5;2;16;33;20;2;0;2;16;0;14;0;5;0;0;9;0;0;0;0;0;0;45;21;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
